,rank,coordX,coordY,penalty,FinalScore
0,0.0,-0.027219802141189575,-0.0239478200674057,0.0,0.0
1,0.0,-0.02099469304084778,-0.020526453852653503,0.0,0.0
2,0.0,-0.016941606998443604,-0.018487364053726196,0.0,0.0
3,0.0,-0.015322238206863403,-0.01728816330432892,0.0,0.0
4,0.0,-0.013827681541442871,-0.016744017601013184,0.0,0.0
5,0.0,-0.013883054256439209,-0.017841890454292297,0.0,0.0
6,0.0,-0.014582067728042603,-0.01821240782737732,0.0,0.0
7,0.0,-0.014294445514678955,-0.017913460731506348,0.0,0.0
8,0.0,-0.014643728733062744,-0.01815633475780487,0.0,0.0
9,0.0,-0.014306783676147461,-0.01794855296611786,0.0,0.0
10,0.0,-0.01477813720703125,-0.01823611557483673,0.0,0.0
11,0.0,-0.014221668243408203,-0.01794576644897461,0.0,0.0
12,0.0,-0.01482340693473816,-0.01810111105442047,0.0,0.0
13,0.0,-0.016494810581207275,-0.018423467874526978,0.0,0.0
14,0.0,-0.016155928373336792,-0.017904773354530334,0.0,0.0
15,0.0,-0.01640164852142334,-0.018077239394187927,0.0,0.0
16,0.0,-0.01659896969795227,-0.018304914236068726,0.0,0.0
17,0.0,-0.016500234603881836,-0.018327832221984863,0.0,0.0
18,0.0,-0.016670286655426025,-0.018300816416740417,0.0,0.0
19,0.0,-0.016814589500427246,-0.018214672803878784,0.0,0.0
20,0.0,-0.01682835817337036,-0.018124982714653015,0.0,0.0
21,0.0,-0.017502784729003906,-0.018226683139801025,0.0,0.0
22,0.0,-0.01769205927848816,-0.01810520887374878,0.0,0.0
23,0.0,-0.018371641635894775,-0.0181189626455307,0.0,0.0
24,0.0,-0.018393129110336304,-0.01805950701236725,0.0,0.0
25,0.0,-0.01855766773223877,-0.01788930594921112,0.0,0.0
26,0.0,-0.018732905387878418,-0.017795711755752563,0.0,0.0
27,0.0,-0.019206196069717407,-0.017764300107955933,0.0,0.0
28,0.0,-0.019245833158493042,-0.017614364624023438,0.0,0.0
